id,tanglish,expected_tamil,domain,difficulty,reviewer,notes
conv-001,vanakkam,வணக்கம்,conversation,easy,sc-draft,greeting
conv-002,nandri,நன்றி,conversation,easy,sc-draft,thank you
conv-003,nalla iruka?,நல்லா இருக்கா?,conversation,medium,sc-draft,how are you (casual)
conv-004,enna seiringa?,என்ன செய்றீங்க?,conversation,medium,sc-draft,what are you doing (formal)
conv-005,enna pannra?,என்ன பண்றா?,conversation,medium,sc-draft,what are you doing (casual)
conv-006,sapittiya?,சாப்பிட்டியா?,conversation,medium,sc-draft,have you eaten
conv-007,sariya?,சரியா?,conversation,easy,sc-draft,is it ok
conv-008,sari,சரி,conversation,easy,sc-draft,ok
conv-009,illa,இல்ல,conversation,easy,sc-draft,no
conv-010,aamam,ஆமாம்,conversation,easy,sc-draft,yes (affirmative)
conv-011,po,போ,conversation,easy,sc-draft,go (imperative)
conv-012,vaa,வா,conversation,easy,sc-draft,come (imperative)
conv-013,kashtam,கஷ்டம்,conversation,medium,sc-draft,difficult
conv-014,romba nalla iruku,ரொம்ப நல்லா இருக்கு,conversation,medium,sc-draft,it is very good
conv-015,konjam wait pannu,கொஞ்சம் wait பண்ணு,conversation,medium,sc-draft,wait a little (code-switch)
conv-016,naan ungalukku phone panren,நான் உங்களுக்கு phone பண்றேன்,conversation,hard,sc-draft,I will call you (code-switch)
conv-017,aiyo,ஐயோ,conversation,easy,sc-draft,oh no (exclamation)
conv-018,kadavul,கடவுள்,conversation,medium,sc-draft,god
conv-019,puriyala,புரியல,conversation,medium,sc-draft,I don't understand
conv-020,solla maatten,சொல்ல மாட்டேன்,conversation,hard,sc-draft,I won't say
name-001,Chennai,சென்னை,names,easy,sc-draft,city
name-002,Madurai,மதுரை,names,easy,sc-draft,city
name-003,Coimbatore,கோயம்புத்தூர்,names,medium,sc-draft,city
name-004,Karthik,கார்த்திக்,names,medium,sc-draft,common name
name-005,Priya,பிரியா,names,easy,sc-draft,common name
name-006,Senthil,செந்தில்,names,medium,sc-draft,common name
name-007,Lakshmi,லட்சுமி,names,medium,sc-draft,common name
name-008,Bharath,பாரத்,names,medium,sc-draft,common name
name-009,Annamalai,அண்ணாமலை,names,hard,sc-draft,common name + place
name-010,Kanchipuram,காஞ்சிபுரம்,names,hard,sc-draft,city
name-011,Tirunelveli,திருநெல்வேலி,names,hard,sc-draft,city
name-012,Subramanian,சுப்ரமணியன்,names,hard,sc-draft,common name
name-013,Saraswathi,சரஸ்வதி,names,medium,sc-draft,common name
name-014,Rajinikanth,ரஜினிகாந்த்,names,medium,sc-draft,famous actor
name-015,Kamal Haasan,கமல் ஹாசன்,names,medium,sc-draft,famous actor
name-016,Vijay,விஜய்,names,easy,sc-draft,common name + actor
name-017,Ilaiyaraaja,இளையராஜா,names,hard,sc-draft,famous composer
name-018,Bharathiyar,பாரதியார்,names,medium,sc-draft,famous poet
name-019,Periyar,பெரியார்,names,medium,sc-draft,historical figure
